timestamp, a_x, a_y, a_z, alpha_x, alpha_y, alpha_z
19710.898108875, -8.591832606196403, 0.1948947691731155, -1.6422349548339845, -0.35674527287483215, 0.12440459430217743, -0.04814804717898369
19710.908161875002, -8.43121660888195, 0.32542326053604487, -1.7869835092127324, -0.3971926271915436, 0.0009217308834195137, 0.012487895786762238
19710.918214875, -8.425527852773667, 0.4581970827095211, -1.8949090768396855, -0.4291481673717499, -0.04679013043642044, 0.0574423186480999
19710.928267875002, -8.581653773188592, 0.5893246395885945, -2.179767004698515, -0.4348468780517578, -0.10272960364818573, 0.0693359300494194
19710.938319875, -8.890013122558594, 0.6105802003853024, -2.2757177670300006, -0.4113527536392212, -0.192915678024292, 0.03869572654366493
19710.948372875002, -9.203461303710938, 0.5236111267469824, -2.48423371642828, -0.3441154360771179, -0.23476967215538025, -0.018165476620197296
19710.958425875, -9.377100219726563, 0.39263347785919905, -2.6467956671118738, -0.2572018504142761, -0.21565589308738708, -0.09500513225793839
19710.968478875002, -9.407486445307732, 0.1781295045465231, -2.569855810850859, -0.163849875330925, -0.17160584032535553, -0.17119109630584717
19710.978531875, -9.206903559565545, -0.02080662254244089, -2.3812480227649213, -0.07782444357872009, -0.11515986174345016, -0.22058475017547607
19710.988583875, -8.913662770986557, -0.1104702027887106, -2.218236859738827, 0.00370210618712008, -0.09425085783004761, -0.2445039302110672
19710.998636875, -8.623117548823357, -0.15522731300443413, -1.9217035040259363, 0.0516243577003479, -0.07338126003742218, -0.23668116331100464
19711.008689875, -8.382866567373275, -0.2448908384330571, -1.731748663634062, 0.08277490735054016, -0.06932385265827179, -0.20383691787719727
19711.018742875, -8.241112518310548, -0.3514692806638777, -1.3633648681640627, 0.0798579528927803, -0.09741141647100449, -0.15243284404277802
19711.028795875, -8.296197967529297, -0.34578107273206116, -1.0654844601452351, 0.05184120312333107, -0.07532136142253876, -0.10239306092262268
19711.038847875003, -8.574618403315544, -0.3514692441187799, -0.8298739752173424, 0.0006938657024875283, -0.053351882845163345, -0.07571244984865189
19711.048900875, -8.947942072749138, -0.43544448852539064, -0.5617816226184369, -0.07596268504858017, -0.016809672117233276, -0.0654744952917099
19711.058953875003, -9.262738037109376, -0.5611830687336624, -0.6497985903918744, -0.13832353055477142, -0.053797248750925064, -0.0656963437795639
19711.069006875, -9.282646636962891, -0.5379813352972269, -0.8978326544165611, -0.16192381083965302, -0.12219559401273727, -0.05333425849676132
19711.079059875003, -9.104067993164064, -0.32452507339417935, -1.383872369080782, -0.15641319751739502, -0.16409963369369507, -0.021587779745459557
19711.089111875, -8.941804250478745, -0.09774671634659171, -1.796414190977812, -0.10842769593000412, -0.22213606536388397, 0.017533965408802032
19711.099164875002, -9.000782775878907, 0.13666594818234445, -2.1417460696399213, -0.021558312699198723, -0.22984299063682556, 0.05229194834828377
19711.109217875, -9.290280761718751, 0.19953517433255913, -2.2824533209204674, 0.06459425389766693, -0.21991610527038574, 0.06658820062875748
19711.119270875002, -9.590706608891487, 0.027392981071025134, -2.055675201416016, 0.12580275535583496, -0.19783823192119598, 0.06517966091632843
19711.129323875, -9.942026621103286, -0.09355559661984444, -1.9202069091796876, 0.15339648723602295, -0.13016806542873383, 0.04057034105062485
19711.139375875002, -10.29334370970726, -0.1568738889321685, -1.7784513983130457, 0.14015072584152222, -0.10572130978107452, -0.0019539473578333855
19711.149428875, -10.418484649658204, -0.12798381965607405, -1.6299600411951543, 0.09046902507543564, -0.10400374233722687, -0.04635543376207352
19711.159481875, -10.422226282954217, -0.15148494880646468, -1.6491204898059368, 0.02433048188686371, -0.12251457571983337, -0.08850528299808502
19711.169534875, -10.310260874032975, -0.14100677490234376, -1.930835100710392, -0.01670563593506813, -0.12257023900747299, -0.11463648825883865
19711.179587875, -10.097102966308594, -0.16061585113406182, -2.392774054259062, -0.020626073703169823, -0.17473755776882172, -0.12255086749792099
19711.1896405, -9.828711090087891, -0.16121464256197215, -2.736160125732422, 0.02640671096742153, -0.20206311345100403, -0.1035442128777504
19711.199693500002, -9.6886018627882, -0.07364670440554619, -3.1587310919165614, 0.10906431078910828, -0.19133776426315308, -0.06174856051802635
19711.2097465, -9.57813217163086, -0.05104378066956997, -3.088676478266716, 0.18553254008293152, -0.19326142966747284, -0.007250067312270403
19711.219799500002, -9.637408320307733, -0.11511058967560531, -2.8249249523878097, 0.24951843917369843, -0.1430416703224182, 0.04097232222557068
19711.2298525, -9.916726888418198, -0.2366578308865428, -2.542911548763514, 0.29069021344184875, -0.03986811265349388, 0.07190045714378357
19711.239904500002, -10.281668574213983, -0.4281097046658397, -2.3122413763403893, 0.31740573048591614, 0.03667113929986954, 0.09921437501907349
19711.2499575, -10.6195166015625, -0.6703059816733004, -2.0439991888403894, 0.32593023777008057, 0.04216857999563217, 0.12329890578985214
19711.260010500002, -10.904972407221795, -0.8613088623806835, -1.8532959048449995, 0.32000231742858887, 0.06925904750823975, 0.1391146183013916
19711.2700635, -11.191327514648439, -0.8927434571832419, -1.9061357308924198, 0.29495877027511597, 0.16254693269729614, 0.14483299851417542
19711.280116500002, -11.390263239741326, -0.9675879637151957, -1.7868339666724207, 0.21533851325511932, 0.20897196233272552, 0.12662629783153534
19711.2901685, -11.343859736323358, -0.9642948666773737, -1.5649952825903892, 0.0713304653763771, 0.17386563122272491, 0.10173533111810684
19711.3002215, -10.982661437988282, -0.7361691649630666, -1.6748665112257004, -0.09040863066911697, 0.06215507909655571, 0.09151971340179443
19711.3102745, -10.494975001215936, -0.3610491029731929, -2.4240591430664065, -0.1822594851255417, -0.02803262509405613, 0.11237377673387527
19711.3203275, -10.036628723144531, -0.06301886005327106, -3.3397049014270306, -0.1938660740852356, -0.15383023023605347, 0.16178445518016815
19711.3303805, -9.55058886229992, 0.0007484070584177972, -3.803889331966639, -0.14935238659381866, -0.30937638878822327, 0.23721429705619812
19711.3404335, -9.244326324462891, 0.05763008438050747, -4.092040411680937, -0.04012203961610794, -0.4119528532028198, 0.32338565587997437
19711.350485500003, -9.279054107666017, 0.027393072433769705, -4.150868078917265, 0.0818813145160675, -0.36149245500564575, 0.37986665964126587
19711.3605385, -9.768235677480698, -0.2077678438369185, -3.797452570796013, 0.16351546347141266, -0.24025684595108032, 0.3726351261138916
19711.370591500003, -10.46099624633789, -0.5041515747830272, -3.1763945071399213, 0.20479807257652283, -0.15699756145477295, 0.2835020124912262
19711.3806445, -10.942995096445085, -0.6518942964356393, -2.6761348025500777, 0.19926083087921143, -0.05537240207195282, 0.15668761730194092
19711.390697500003, -11.034155527353287, -0.6518945339787752, -2.404000562131405, 0.1471303105354309, 0.0530974417924881, 0.02756696194410324
19711.4007495, -10.762918395996094, -0.6239026609808207, -2.1442904855310916, 0.061125390231609344, 0.13007424771785736, -0.07809795439243317
19711.410802500002, -10.272387873530388, -0.5390291837509722, -2.1995259158313276, -0.022141583263874054, 0.1962936669588089, -0.14265881478786469
19711.4208555, -9.775571009516716, -0.4589455994032324, -2.5402175903320314, -0.07173922657966614, 0.2009669840335846, -0.16875913739204407
19711.430908500002, -9.194030329585075, -0.3442840027995408, -2.8921357727050783, -0.08577215671539307, 0.19971489906311035, -0.15478084981441498
19711.4409615, -8.72191210448742, -0.18052473421208562, -3.310665143430233, -0.07097537070512772, 0.20879575610160828, -0.10983148217201233
19711.451013500002, -8.386311162114144, -0.08502315681427718, -3.5566038577258587, -0.013073706068098545, 0.17815503478050232, -0.044944051653146744
19711.4610665, -8.209379678964615, -0.04340967418625951, -3.687731177061796, 0.06176404654979706, 0.153711199760437, 0.023930886760354042
19711.4711195, -8.338559875488281, -0.11825396144762636, -3.612736835628748, 0.12473318725824356, 0.14424529671669006, 0.0763435959815979
19711.4811725, -8.581654357910157, -0.3363506833277643, -3.316503003537655, 0.15519629418849945, 0.12824980914592743, 0.11508433520793915
