timestamp, frame, x, y, z, qx, qy, qz, qw
19710.792898041, 000000, -0.052613143, -0.0122631285, -0.6444021, 0.9937238, 0.003750419, -0.05450351, 0.09761302
19710.809566041, 000001, -0.053195868, -0.00946977, -0.65639573, 0.9936526, 0.0020134011, -0.05193292, 0.09976699
19710.826234, 000002, -0.054776173, -0.007258022, -0.6699599, 0.9935033, 0.00016344423, -0.049364474, 0.1025393
19710.842901958, 000003, -0.05642689, -0.0053589903, -0.68376255, 0.9934265, -0.0017593493, -0.047226097, 0.10426136
19710.859569833, 000004, -0.057909925, -0.0036749449, -0.69757223, 0.99323034, -0.0035466475, -0.045990553, 0.10661044
19710.876237791, 000005, -0.0576157, -0.0029320233, -0.7283197, 0.99287236, -0.0050589237, -0.044367075, 0.11050054
19710.89290575, 000006, -0.058441013, -0.001860464, -0.7478999, 0.9927233, -0.005857731, -0.041927416, 0.11273042
19710.90957375, 000007, -0.059572525, -0.0008962527, -0.76390815, 0.9927648, -0.0057249325, -0.038823735, 0.11348157
19710.926241666, 000008, -0.060683105, -0.0001665689, -0.77873755, 0.99294144, -0.004897522, -0.035342015, 0.1131119
19710.942909583, 000009, -0.06161325, 0.00039158016, -0.79310846, 0.99320996, -0.004111853, -0.031903807, 0.111799546
19710.9595775, 000010, -0.062320482, 0.00089277327, -0.8072411, 0.9934995, -0.0041899774, -0.029220337, 0.10994222
19710.976245458, 000011, -0.061512273, 0.0014584885, -0.83281845, 0.9936336, -0.0059134057, -0.027658073, 0.10905142
19710.992913416, 000012, -0.061516605, 0.0018107593, -0.85066736, 0.99371344, -0.007911042, -0.027169468, 0.108317286
19711.00958125, 000013, -0.061809707, 0.001846686, -0.86610615, 0.99374473, -0.009870957, -0.027445992, 0.10779914
19711.026249208, 000014, -0.062268764, 0.001496315, -0.8808849, 0.9937926, -0.011255707, -0.027925791, 0.107096925
19711.04291725, 000015, -0.06284358, 0.00078493747, -0.89568955, 0.9938341, -0.012006981, -0.028019162, 0.106604345
19711.059585041, 000016, -0.06351788, -0.00015847385, -0.91078794, 0.99387544, -0.012468985, -0.027203783, 0.106377095
19711.076253041, 000017, -0.06365314, -0.0018999875, -0.9368355, 0.99389964, -0.0125648705, -0.0260312, 0.10643329
19711.092920958, 000018, -0.064202525, -0.003357507, -0.9557325, 0.9940932, -0.012488286, -0.024985392, 0.10487318
19711.109589, 000019, -0.0647959, -0.004790269, -0.9722935, 0.99429375, -0.012083844, -0.024981305, 0.10300413
19711.126256833, 000020, -0.06534142, -0.006182354, -0.9881449, 0.9944422, -0.011691115, -0.025977232, 0.101356134
19711.142924791, 000021, -0.06582945, -0.00743665, -1.0038913, 0.9945105, -0.011679429, -0.02719552, 0.1003633
19711.15959275, 000022, -0.066237114, -0.008489672, -1.0196971, 0.9945788, -0.012227331, -0.0277746, 0.099458694
19711.176260625, 000023, -0.067134574, -0.009752056, -1.0463864, 0.994603, -0.013093069, -0.027734648, 0.09911701
19711.192928583, 000024, -0.067595005, -0.010602979, -1.0655955, 0.99473727, -0.0140602635, -0.027712306, 0.097632185
19711.209596666, 000025, -0.06788251, -0.011284979, -1.082186, 0.9948577, -0.014630043, -0.028661037, 0.09603474
19711.226264541, 000026, -0.0681041, -0.011870949, -1.0978197, 0.99492097, -0.014603986, -0.030634785, 0.09476506
19711.242932458, 000027, -0.068337604, -0.01229381, -1.113181, 0.99485254, -0.014142468, -0.03321518, 0.0946841
19711.259600416, 000028, -0.06868191, -0.012416162, -1.1284956, 0.99473655, -0.0133496, -0.035997037, 0.095000945
19711.27626825, 000029, -0.07014294, -0.012554273, -1.1522902, 0.99450576, -0.012152177, -0.038658675, 0.09652007
19711.29293625, 000030, -0.07112653, -0.011936411, -1.170593, 0.9943076, -0.011240893, -0.040052075, 0.09809154
19711.309604166, 000031, -0.07198013, -0.010853609, -1.1870711, 0.99429786, -0.010338812, -0.039365824, 0.09856563
19711.326272166, 000032, -0.072731495, -0.009508925, -1.202573, 0.9944728, -0.008970854, -0.03791506, 0.097498
19711.34294, 000033, -0.07340888, -0.008058693, -1.2172084, 0.9948037, -0.006712034, -0.03725757, 0.094511114
19711.359608041, 000034, -0.074048534, -0.0065392815, -1.2311981, 0.99506027, -0.0037880747, -0.038211863, 0.09154497
19711.376276041, 000035, -0.07524082, -0.005331628, -1.2532552, 0.99510837, -0.0013391728, -0.040003773, 0.09031738
19711.392943875, 000036, -0.07609025, -0.0033889096, -1.2696319, 0.99505347, -0.00058323063, -0.041565824, 0.090225294
19711.409611875, 000037, -0.076851495, -0.0010491906, -1.284228, 0.99493, -0.0012042511, -0.04198065, 0.09138013
19711.426279791, 000038, -0.077613115, 0.0014194809, -1.29811, 0.99479336, -0.002419475, -0.041387286, 0.09309857
19711.442947833, 000039, -0.07838804, 0.003798617, -1.3114355, 0.9946571, -0.0034174141, -0.040619276, 0.09484517
19711.459615708, 000040, -0.07916097, 0.005947631, -1.3241644, 0.9945156, -0.0036942959, -0.040516116, 0.096350856
19711.476283583, 000041, -0.08067784, 0.007194385, -1.3426039, 0.99435174, -0.0032217375, -0.04121682, 0.09775122
19711.492951541, 000042, -0.08179223, 0.008701205, -1.3564138, 0.9942023, -0.0022998834, -0.042478777, 0.098752454
19711.509619458, 000043, -0.08283889, 0.010251094, -1.3686737, 0.9941004, -0.0012810305, -0.04310945, 0.09952074
19711.526287416, 000044, -0.08387077, 0.011831898, -1.3803672, 0.99406993, -0.0005516602, -0.042803742, 0.099962346
19711.542955375, 000045, -0.08486033, 0.013433872, -1.3917481, 0.99408823, -0.0002552225, -0.041798566, 0.10020632
19711.559623416, 000046, -0.08576844, 0.01500899, -1.4027865, 0.99414456, -0.00034946838, -0.040850226, 0.100038186
19711.576291291, 000047, -0.08776815, 0.015706118, -1.4211878, 0.9941771, -0.0006825363, -0.04023575, 0.09996246
19711.592959291, 000048, -0.08891786, 0.016794823, -1.4341688, 0.99420685, -0.0013143873, -0.040052585, 0.099733755
19711.60962725, 000049, -0.089791864, 0.017886247, -1.4453304, 0.99428606, -0.0022625616, -0.03960316, 0.099104345
19711.626295083, 000050, -0.09059836, 0.018797558, -1.455785, 0.99444443, -0.0032060537, -0.03858996, 0.097881466
19711.642963125, 000051, -0.091424435, 0.019461952, -1.4658778, 0.99465126, -0.0039642705, -0.037032504, 0.096341684
19711.659631041, 000052, -0.09228912, 0.019885931, -1.475706, 0.99488425, -0.004515984, -0.034916684, 0.094687134
19711.676298875, 000053, -0.094796225, 0.018601626, -1.4957927, 0.99513686, -0.004787606, -0.032253556, 0.09294855
19711.692966833, 000054, -0.09624294, 0.018059228, -1.5085456, 0.99541867, -0.0045974473, -0.029014891, 0.090986945
19711.709634875, 000055, -0.097338185, 0.017603632, -1.5187474, 0.9957206, -0.0038974422, -0.025172604, 0.088834815
19711.726302708, 000056, -0.098281756, 0.017086111, -1.5278462, 0.99600786, -0.002724867, -0.021097703, 0.086693384
19711.742970708, 000057, -0.09911333, 0.01657356, -1.5362153, 0.9962827, -0.0015454113, -0.01739919, 0.08435399
19711.759638583, 000058, -0.099816054, 0.016156401, -1.5439519, 0.9965416, -0.00075083826, -0.014932574, 0.081738755
19711.776306708, 000059, -0.10232459, 0.015099334, -1.5594251, 0.99661714, -0.00041611755, -0.014229188, 0.080942474
19711.792974625, 000060, -0.10344953, 0.014705345, -1.5692631, 0.9965816, -0.000966346, -0.013802413, 0.081446454
19711.809642458, 000061, -0.104129255, 0.014644347, -1.5773506, 0.99645233, -0.0023918082, -0.012783529, 0.083147235
19711.826310416, 000062, -0.1046872, 0.01473606, -1.5848055, 0.99628115, -0.004192584, -0.010828257, 0.08537508
19711.842978416, 000063, -0.10523733, 0.014757253, -1.5917603, 0.9961843, -0.0052390704, -0.008364385, 0.08671441
19711.859646291, 000064, -0.10580586, 0.014553405, -1.5981394, 0.99616766, -0.004682234, -0.0065777185, 0.0870907
19711.876314333, 000065, -0.10780519, 0.014620796, -1.61419, 0.9961219, -0.0023844638, -0.00638718, 0.08771916
19711.892982208, 000066, -0.10873416, 0.014283769, -1.6231474, 0.99602324, 0.0006394542, -0.0066929315, 0.08883963
19711.909650125, 000067, -0.109138176, 0.013956577, -1.6299092, 0.99590915, 0.003551114, -0.0061352723, 0.09008135
19711.926318125, 000068, -0.10911094, 0.013851844, -1.6359917, 0.99580634, 0.0057065673, -0.0041792067, 0.091211975
19711.942986125, 000069, -0.10865182, 0.014044045, -1.6417526, 0.995756, 0.006847498, -0.0010861863, 0.0917713
19711.959654, 000070, -0.107795194, 0.0145230815, -1.6471741, 0.99575, 0.006971779, 0.0021157218, 0.09180834
19711.976321875, 000071, -0.1077811, 0.015818615, -1.6686312, 0.9957343, 0.006315111, 0.004250478, 0.091952175
19711.992989875, 000072, -0.10671194, 0.016850676, -1.6786207, 0.9957019, 0.0048517794, 0.0053645773, 0.09233247
19712.00965775, 000073, -0.10520616, 0.017833438, -1.6847419, 0.9956642, 0.0026640797, 0.0056690364, 0.0928089
19712.026325708, 000074, -0.10350753, 0.018747177, -1.6894678, 0.995652, 0.00011307313, 0.00600945, 0.0929568
19712.04299375, 000075, -0.10174376, 0.019513275, -1.6935693, 0.9957115, -0.0024666523, 0.006859802, 0.09222522
19712.059661583, 000076, -0.09996809, 0.020034958, -1.6972398, 0.9958234, -0.0048185466, 0.0078045907, 0.09083845
19712.076329541, 000077, -0.099921994, 0.021100622, -1.7230192, 0.9959131, -0.0066891187, 0.008171787, 0.08969704
19712.0929975, 000078, -0.0988411, 0.02123978, -1.7334448, 0.99594694, -0.007922972, 0.007749747, 0.08925659
19712.109665541, 000079, -0.09753025, 0.020793885, -1.7389807, 0.99581826, -0.008259749, 0.006882291, 0.09072156
19712.126333458, 000080, -0.09622207, 0.019959796, -1.7429265, 0.9956048, -0.007976584, 0.006391838, 0.09309373
19712.143001291, 000081, -0.09497203, 0.018861406, -1.7462431, 0.9953979, -0.007241396, 0.0064676404, 0.09533472
19712.159669291, 000082, -0.093808696, 0.01753398, -1.749154, 0.9952248, -0.005855233, 0.0066615758, 0.09720561
19712.17633725, 000083, -0.09304115, 0.016809136, -1.7665249, 0.995093, -0.0035220953, 0.0069234967, 0.09863822
19712.193005208, 000084, -0.09206247, 0.015364416, -1.7737509, 0.9950357, -0.00012323327, 0.0071411035, 0.099261485
19712.209673125, 000085, -0.09095287, 0.013735365, -1.7778026, 0.99499476, 0.003645168, 0.008008885, 0.09953899
